path,label,label_id,dataset,speaker_id
data/emotion_datasets/ravdess/Actor_21/03-01-01-01-01-01-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-01-01-01-02-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-01-01-02-01-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-01-01-02-02-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-02-01-01-01-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-02-01-01-02-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-02-01-02-01-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-02-01-02-02-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-02-02-01-01-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-02-02-01-02-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-02-02-02-01-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-02-02-02-02-21.wav,neutral_calm,0,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-03-01-01-01-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-03-01-01-02-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-03-01-02-01-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-03-01-02-02-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-03-02-01-01-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-03-02-01-02-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-03-02-02-01-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-03-02-02-02-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-04-01-01-01-21.wav,low_energy,2,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-04-01-01-02-21.wav,low_energy,2,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-04-01-02-01-21.wav,low_energy,2,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-04-01-02-02-21.wav,low_energy,2,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-04-02-01-01-21.wav,low_energy,2,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-04-02-01-02-21.wav,low_energy,2,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-04-02-02-01-21.wav,low_energy,2,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-04-02-02-02-21.wav,low_energy,2,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-05-01-01-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-05-01-01-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-05-01-02-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-05-01-02-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-05-02-01-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-05-02-01-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-05-02-02-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-05-02-02-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-06-01-01-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-06-01-01-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-06-01-02-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-06-01-02-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-06-02-01-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-06-02-01-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-06-02-02-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-06-02-02-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-07-01-01-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-07-01-01-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-07-01-02-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-07-01-02-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-07-02-01-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-07-02-01-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-07-02-02-01-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-07-02-02-02-21.wav,tense_stressed,3,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-08-01-01-01-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-08-01-01-02-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-08-01-02-01-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-08-01-02-02-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-08-02-01-01-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-08-02-01-02-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-08-02-02-01-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_21/03-01-08-02-02-02-21.wav,energetic_engaged,1,ravdess,21
data/emotion_datasets/ravdess/Actor_22/03-01-01-01-01-01-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-01-01-01-02-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-01-01-02-01-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-01-01-02-02-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-02-01-01-01-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-02-01-01-02-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-02-01-02-01-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-02-01-02-02-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-02-02-01-01-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-02-02-01-02-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-02-02-02-01-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-02-02-02-02-22.wav,neutral_calm,0,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-03-01-01-01-22.wav,energetic_engaged,1,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-03-01-01-02-22.wav,energetic_engaged,1,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-03-01-02-01-22.wav,energetic_engaged,1,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-03-01-02-02-22.wav,energetic_engaged,1,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-03-02-01-01-22.wav,energetic_engaged,1,ravdess,22
data/emotion_datasets/ravdess/Actor_22/03-01-03-02-01-02-22.wav,energetic_engaged,1,ravdess,22
